validator_address,pool_id,total_stake,delegator_address,net_delegated_iota
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xce6eaa16e9507b1d11a4ac89389933f817534d1e81893f0fb40c01dbafbfd32e,1000.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xe0aee0973fc53cd4c61b1bf41c0b338650b4fa1260842e1549b003dd2c40001c,800.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x72090e48ff986bcf9f4d9e02dc46acb4f2abb64e0c8a7419cb2cb76b1c65fbb5,746.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xf124e7a12604f1d42e1e27738e542e6d2e209ba4b1acb5aafb5ea949bb014ad7,700.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x905f2a0864afa6c3bdb68e20515376acc6bcc7c6a78b4388695df8ad027ddfc3,599.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x0cee34f1b7fc36a0a53326ac6782ab52868af5d276315c0f6e30a4f8d466b351,550.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x8497906e0fe56eac2246835f39203d95760bcccbf803b869903dd417b9ed3749,433.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xe7edd217d7610cd1cbca04a2e821f99aafb7bc662f9915d2e9f377bd2e9d9502,250.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xeed3ccca38dcf9ba1258e2d31a8ad0bc0160d63874131af7660dffb51619abf0,250.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xce51d0ede6b68488c162277c622da485a39af050c16d30890d052738a676bc80,240.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x1e3a5a403dec78aef17124325817cf7e5cbb430edc282cea0d4d9293441db322,222.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x929c2103cc95e5fefe79fb9b208e0d4cbb428e7ada5726be0b2afc6462c3e501,199.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x2d691a453fc542c5007f861270e0a10abce0a6bdfaaaf0e39efa6f7771eeeed8,170.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x8c8821754c8b45046694549fc60891a1c51894002ad5d9a5d60258f1cf52b18a,150.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xe0214b33b92989aed14c6d1767be3781d3b014a5d277bd33335c98eeac2f1882,149.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xb0c648f0c2d124ae7bdd8567119802995d1dad7b2954c9aa895394d57d1e7745,100.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xcb6860fd5354be3a865309211b6ee4d81e8e690071f689eaaa19df771109108e,100.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x78cdc274e55713d47a77331cc649851e5231e4fa9a4fd51b31c576a4e059ea5a,65.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x5457764f89d65ee2a44de22ec5b9a92ad47746bfa8ba5c9ee35e512bf3d802c5,56.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0xb85202acefe9bbc29cb1033cca29bb2ee12e995cfac0697191e6a8535424d782,30.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x388df20985112719c904292cb79655c2f5010f6f617c8dfb77872a877f86db63,27.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x1ca925cb582ce6297f8083edc783e4b640cfd46e423908333fc3d54e1ddfacd1,24.0
0x9fd70830febdaff0a1ccd99923085de52621e97173e31649f2c1c7a1699205fd,0x90381dc87c6304fefe0738f35ddc75e62488fdab431779e5a8333003b3a78597,161377370,0x1862ba334a618f5a43387d97e747c128922a66802ecd44249fa10a477082a1f7,6.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xb9010ce4f84bf7510cd2af07061643d54d384a9e839f92abf661365381b77900,115000000.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xb8b0ee6dbbc2c663135c1d0e0969b0aaffedc849064704c75c0837b6f05f1a5b,19107692.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xbd7d897c96fbecd0a9c43b7742b878fd12178fe0e18240c32f7eb37ca43c83dc,1299990.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0x8609aee4a32d4424a2bcf84ea0b093b06e586a5d4287e43dd00cf7b6f4dd7eab,1115385.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xfa804a072cae4ebbdec715030416266819da918e4210cd4d48a3e689f16270a4,600000.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xd3e0722c558894cdcc95e75168f8cb709c14aab136ca64ee625294c62aee377e,560497.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xa3a5e77db930f9c27bc1a5cea8a5424c2a938d067b534433c5113acf2edbf394,390000.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xf458141faad7ff4ef06d86417d7279623eb7a3822cdc401169040b01551fc799,363845.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0x72b56b87a622e1d47b91014713e928806d3d1db77c1a43c8559dc86edcd7491d,318200.0
0x1e10a0489d3609569368be4b04bbcb3f143f7a27fb51c07fe526c6848a55d01a,0xa05f4fb4ffbd0b270279feea497a2f9b0b360a0cb754676707fe8669836dbbbe,146221709,0xe5f492a436f0d8ddab7148cdfda17a4ad11e62ebbaf7282f3fb4b151c0f71294,305000.0
