epoch_id,validator_group,member_count,voting_power,delegated_stake,nominal_fee,network_effective_fee,identity_adjusted_effective_fee
156,PANDABYTE,2,7.52,171215967,0.69,0.69,0.69
157,PANDABYTE,2,7.51,171285366,0.69,0.69,0.69
158,PANDABYTE,2,7.51,171763208,0.69,0.69,0.69
159,PANDABYTE,2,7.54,173042233,0.69,0.69,0.69
160,PANDABYTE,2,7.54,173097942,0.69,0.69,0.69
161,PANDABYTE,2,7.55,173489056,0.69,0.69,0.69
162,PANDABYTE,2,7.54,173795706,0.69,0.69,0.69
163,PANDABYTE,2,7.65,176708254,0.69,0.69,0.69
164,PANDABYTE,2,7.55,176946133,0.69,0.69,0.69
165,PANDABYTE,2,7.55,177271645,0.69,0.69,0.69
166,PANDABYTE,2,7.63,179203412,0.69,0.69,0.69
167,PANDABYTE,2,7.63,179281754,0.69,0.69,0.69
168,PANDABYTE,2,7.67,180440430,0.69,0.69,0.69
169,PANDABYTE,2,7.7,181309727,0.69,0.69,0.69
170,PANDABYTE,2,7.88,185533231,0.69,0.69,0.69
171,PANDABYTE,2,8.18,192721052,0.69,0.69,0.69
172,PANDABYTE,2,8.19,192993921,0.69,0.69,0.69
173,PANDABYTE,2,8.19,193107866,0.69,0.69,0.69
174,PANDABYTE,2,8.19,193239235,0.69,0.69,0.69
175,PANDABYTE,2,8.23,194154484,0.69,0.69,0.69
176,PANDABYTE,2,8.22,194369115,0.69,0.69,0.69
177,PANDABYTE,2,8.24,194823011,0.69,0.69,0.69
178,PANDABYTE,2,8.56,200061316,0.69,0.69,0.69
179,PANDABYTE,2,8.66,198979449,0.69,0.69,0.69
180,PANDABYTE,2,8.68,203943697,0.69,0.69,0.69
181,PANDABYTE,2,8.73,204708016,0.69,0.69,0.69
182,PANDABYTE,2,8.55,200851396,0.69,0.69,0.69
183,PANDABYTE,2,8.78,202691470,0.69,0.69,0.69
184,PANDABYTE,2,8.79,202980567,0.69,0.69,0.69
185,PANDABYTE,2,8.81,202744797,0.69,0.69,0.69
186,PANDABYTE,2,8.83,203142586,0.69,0.69,0.69
187,PANDABYTE,2,8.88,206267509,0.69,0.69,0.69
188,PANDABYTE,2,9.08,212913347,0.69,0.69,0.69
189,PANDABYTE,2,9.09,213291495,0.69,0.69,0.69
190,PANDABYTE,2,9.1,209562182,0.69,0.69,0.69
191,PANDABYTE,2,9.08,210688604,0.69,0.69,0.69
