id,time,epoch_id,validator_slot,validator_address,stake_action,unstake_action,staked_amount
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,14,122,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,8454
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,15,122,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,20617
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,16,140,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,20617
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,17,140,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,20737
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,18,158,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,20737
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,19,158,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,20859
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,20,182,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,20859
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,21,182,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,21138
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,22,199,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,21138
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,23,199,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,21250
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,24,223,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,21250
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,25,223,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,1,0,21410
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,26,260,2,0x7f4c2ac3caf95a4f76bcfa14ee5c3bb79214fb940f8431a14aba9f244d33aab5,0,1,21410
0x02b6deb3638f2e88f6d671f6e106a5e787fb7e99a14964e3023e322db71a0339,27,260,3,0x9715544f0255a9bd0c0dc178b5bc8a78fd281b35db3041d72b91aff57f3beb10,1,0,21657
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,1,1,2,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,50000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,2,1,3,0x7d307e5537bf0ebd7417f0aa2b09562e5be2a3b1bc0df39ecba8df606c6002b9,1,0,50000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,3,1,3,0x7d307e5537bf0ebd7417f0aa2b09562e5be2a3b1bc0df39ecba8df606c6002b9,0,1,50000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,4,1,2,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,50000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,5,1,2,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,1,0,200000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,6,8,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,70000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,7,15,2,0x2762540744dfaeda69885db1f8e85c8c02e471ce41914aea9a85b3e6d63996a5,0,1,200000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,8,15,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,201500
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,9,15,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,70000
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,10,15,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,70280
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,11,15,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,201500
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,12,15,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,70280
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,13,15,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,271780
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,14,18,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,5010
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,15,34,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,51800
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,16,56,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,51800
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,17,56,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,5010
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,18,56,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,271780
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,19,56,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,1,0,333470
0x03e98ae27508064183364055d661a33c45247edfb06a56c95485195813050bd4,20,79,1,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,0,1,333470
