epoch_id,validator_address,validator_name,voting_power,delegated_stake,applied_fee,effective_fee
70,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.53,135363348,0.8,0.8
71,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.48,135538516,0.8,0.8
72,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.62,142438443,0.8,0.8
73,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.57,141460565,0.8,0.8
74,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.49,139751507,0.8,0.8
75,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.49,139805325,0.8,0.8
76,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.48,139858512,0.8,0.8
77,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.48,139926047,0.8,0.8
78,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.46,139429314,0.8,0.8
79,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.47,139680186,0.8,0.8
80,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.45,139490247,0.8,0.8
81,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.46,139740070,0.8,0.8
82,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,Tangle Bay,6.48,140361735,0.8,0.8
83,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.49,140752397,0.8,0.8
84,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.47,140341253,0.8,0.8
85,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.51,140426259,0.8,0.8
86,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.52,140622702,0.8,0.8
87,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.51,140656467,0.8,0.8
88,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.5,140692498,0.8,0.8
89,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.48,140489670,0.8,0.8
90,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.5,141049835,0.8,0.8
91,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.52,141490560,0.8,0.8
92,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.52,141532685,0.8,0.8
93,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.51,141513452,0.8,0.8
94,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.44,140129056,0.8,0.8
95,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.44,140185798,0.8,0.8
96,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.44,140274284,0.8,0.8
97,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.44,140312565,0.8,0.8
98,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.43,140253882,0.8,0.8
99,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,6.43,140347229,0.8,0.8
100,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.39,163256233,0.8,0.8
101,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.37,163146536,0.8,0.8
102,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.21,162301188,0.8,0.8
103,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.23,162440843,0.8,0.8
104,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.2,161865406,0.8,0.8
105,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.14,160634854,0.8,0.8
106,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.13,160471723,0.8,0.8
107,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.08,159500754,0.8,0.8
108,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.07,159565573,0.8,0.8
109,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.09,160004697,0.8,0.8
110,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.09,160068666,0.8,0.8
111,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.09,160092869,0.8,0.8
112,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.08,160017246,0.8,0.8
113,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.07,160062046,0.8,0.8
114,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.07,160070363,0.8,0.8
115,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.11,161071910,0.8,0.8
116,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE,7.09,160582594,0.8,0.8
117,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.1,160723801,0.8,0.8
118,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.1,160800466,0.8,0.8
119,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.11,160694282,0.8,0.8
120,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.1,160587632,0.8,0.8
121,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.09,160667135,0.8,0.8
122,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.08,160627506,0.8,0.8
123,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.08,160628319,0.8,0.8
124,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.07,160536392,0.8,0.8
125,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.06,160428279,0.8,0.8
126,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.06,160375695,0.8,0.8
127,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.06,160475214,0.8,0.8
128,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.06,160567761,0.8,0.8
129,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.16,160663482,0.8,0.8
130,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.16,160754830,0.8,0.8
131,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.16,160819402,0.8,0.8
132,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.16,160814829,0.8,0.8
133,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.15,160771328,0.7,0.7
134,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.13,160710158,0.7,0.7
135,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.14,160756230,0.7,0.7
136,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.12,160910593,0.7,0.7
137,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.05,160588214,0.7,0.7
138,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,160693145,0.7,0.7
139,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,160871489,0.7,0.7
140,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,160924649,0.7,0.7
141,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.05,161012425,0.7,0.7
142,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.04,161025957,0.7,0.7
143,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,161064562,0.7,0.7
144,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,161103605,0.7,0.7
145,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,161049167,0.7,0.7
146,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.02,160940939,0.7,0.7
147,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.03,160952697,0.7,0.7
148,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,7.0,160997458,0.7,0.7
149,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.94,159524109,0.7,0.7
150,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.93,158676385,0.7,0.7
151,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.96,159073978,0.69,0.69
152,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.8,155590090,0.69,0.69
153,0x018ceb2744a0a6a0a316d7eb939a0a7a777209e6ded45cb0aa7eddd0d23edc60,PANDABYTE I,6.79,155569705,0.69,0.69
